"site","site_name","latitude","longitude","elevation","country","country_iso_code","site_type","site_area","date_start","date_end","network","eu_code","eoi_code","observation_count","data_source"
"ad0942a","Fixa",42.5096939994651,1.539138,1080,"andorra","AD","background","urban",2011-12-31 23:00:00,2022-06-14 01:00:00,"NET-AD001A","STA-AD0942A","AD0942A",543964,"aqer:e1a; aqer:e2a"
"ad0944a","Fixa oz",42.516943999465,1.56525,1637,"andorra","AD","background","rural",2011-12-31 23:00:00,2022-06-14 00:00:00,"NET-AD001A","STA-AD0944A","AD0944A",80519,"aqer:e1a; aqer:e2a"
"ad0945a","Estacional oz Envalira",42.534882999465,1.716986,2515,"andorra","AD","background","rural",2012-04-26 10:00:00,2022-06-14 00:00:00,"NET-AD001A","STA-AD0945A","AD0945A",33483,"aqer:e1a; aqer:e2a"
"al0201a","Tirana Center",41.3302689994674,19.821772,162,"albania","AL","traffic","urban",2011-01-01 00:00:00,2012-12-31 06:00:00,"NET-AL002A","STA-AL0201A","STA-AL0201A",145816,"airbase"
"al0202a","Tirana IPH",41.3455999994673,19.851667,207,"albania","AL","traffic","suburban",2011-01-01 00:00:00,2012-12-31 06:00:00,"NET-AL002A","STA-AL0202A","STA-AL0202A",119022,"airbase"
"al0203a","Korca",40.62593,20.78018,848,"albania","AL","background","suburban",2014-01-08 18:00:00,2019-04-13 11:00:00,"NET-AL001A","STA-AL0203A","AL0203A",230523,"aqer:e1a"
"al0204a","Vlora",40.40309,19.4862,25,"albania","AL","background","urban",2014-01-01 00:00:00,2019-10-02 02:00:00,"NET-AL001A","STA-AL0204A","AL0204A",223266,"aqer:e1a"
"al0205a","Durres",41.3199,19.4492,1,"albania","AL","traffic","urban",2014-03-31 15:00:00,2019-09-07 06:00:00,"NET-AL001A","STA-AL0205A","AL0205A",218062,"aqer:e1a"
"al0206a","Shkoder",42.3139,19.52342,13,"albania","AL","background","urban",2014-02-19 21:00:00,2019-07-25 08:00:00,"NET-AL001A","STA-AL0206A","AL0206A",179583,"aqer:e1a"
"al0207a","Elbasan",41.11098,20.0817,150,"albania","AL","traffic","urban",2014-04-09 12:00:00,2019-06-02 20:00:00,"NET-AL001A","STA-AL0207A","AL0207A",172141,"aqer:e1a"
"at0ach1","Achenkirch - Am Zenzfeld",47.503056,11.70028,463,"austria","AT","background","rural",1993-04-01 00:00:00,2003-09-17 15:00:00,NA,NA,NA,182042,"airbase"
"at0enk1","Enzenkirchen im Sauwald",48.391719999467,13.67114,525,"austria","AT","background","rural_regional",1998-06-03 00:00:00,2022-06-13 17:00:00,"NET.10","STA.10.ENK1","AT0ENK1",1309223,"airbase; aqer:e1a; aqer:e2a"
"at0hbg1","Hochburg-Ach",48.148056,12.866947,463,"austria","AT","background","rural",1995-01-01 00:00:00,1998-05-26 12:00:00,NA,NA,NA,115184,"airbase"
"at0ill1","Illmitz am Neusiedler See",47.7702799994658,16.76639,117,"austria","AT","background","rural_regional",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.10","STA.10.ILL1","AT0ILL1",1744273,"airbase; aqer:e1a; aqer:e2a"
"at0ill2","Illmitz",47.7702799994658,16.76639,117,"austria","AT","background","rural_regional",2016-12-31 23:00:00,2019-12-31 22:00:00,"NET.10","STA.10.ILL2","AT0ILL2",23253,"aqer:e1a"
"at0klh1","Klöch bei Bad Radkersburg",46.7674999994643,15.956111,415,"austria","AT","background","rural_regional",2012-12-31 23:00:00,2022-06-13 17:00:00,"NET.10","STA.10.KLH1","AT0KLH1",287197,"aqer:e1a; aqer:e2a"
"at0pil1","Pillersdorf bei Retz",48.7211111094678,15.94222222,315,"austria","AT","background","rural_regional",1992-02-27 00:00:00,2022-06-13 17:00:00,"NET.10","STA.10.PIL1","AT0PIL1",1393702,"airbase; aqer:e1a; aqer:e2a"
"at0sig1","St. Sigmund im Sellrain - Gleirschalm",47.189167,11.099736,1666,"austria","AT","background","rural",1999-10-05 00:00:00,2008-10-22 15:00:00,NA,NA,NA,476459,"airbase"
"at0son1","Sonnblick",47.0541666994646,12.957777778,3106,"austria","AT","background","rural_remote",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.10","STA.10.SON1","AT0SON1",878376,"airbase; aqer:e1a; aqer:e2a"
"at0sto1","Stolzalpe bei Murau",47.129166,14.203892,1302,"austria","AT","background","rural",1992-01-01 00:00:00,2006-04-25 13:00:00,NA,NA,NA,571343,"airbase"
"at0vor1","Vorhegg bei Kötschach-Mauthen",46.6786111105753,12.9744444444444,1010,"austria","AT","background","rural_regional",1991-01-01 00:00:00,2022-06-13 17:00:00,"NET.10","STA.10.VOR1","AT0VOR1",1850102,"airbase; aqer:e1a; aqer:e2a"
"at0zil1","Ried im Zillertal",47.306667,11.863889,555,"austria","AT","background","rural",2009-01-01 00:00:00,2011-12-31 23:00:00,NA,NA,NA,134541,"airbase"
"at0zoe2","Zöbelboden im Reichraminger Hintergebirge - Wildwiese",47.8386110994659,14.441388889,899,"austria","AT","background","rural_remote",1996-01-01 00:00:00,2022-06-13 17:00:00,"NET.10","STA.10.ZOE2","AT0ZOE2",1319940,"airbase; aqer:e1a; aqer:e2a"
"at10001","Eisenstadt Laschoberstraße",47.8401137994659,16.52617,165,"austria","AT","background","suburban",1994-01-01 00:00:00,2022-06-13 17:00:00,"NET.01","STA.01.0001","AT10001",1610865,"airbase; aqer:e1a; aqer:e2a"
"at10002","Oberschützen",47.339925999465,16.207863,344,"austria","AT","background","rural",1994-01-01 00:00:00,2022-06-13 17:00:00,"NET.01","STA.01.0002","AT10002",1131045,"airbase; aqer:e1a; aqer:e2a"
"at10003","Kittsee",48.1091531994664,17.0703159,136,"austria","AT","background","suburban",2000-01-01 00:00:00,2022-06-13 17:00:00,"NET.01","STA.01.0003","AT10003",1099831,"airbase; aqer:e1a; aqer:e2a"
"at10007","Mannersdorf an der Rabnitz",47.4652777774653,16.6472222222,205,"austria","AT","background","rural",2011-04-07 00:00:00,2012-12-31 23:00:00,"NET.01","STA.01.0007","AT10007",30425,"airbase"
"at10008",NA,48.0009719994662,16.862967,180,"austria","AT","background","rural",NA,NA,"NET.01","STA.01.0008","AT10008",NA,"aqer:e1a"
"at10035","Jennersdorf Schule",46.9420359994645,16.148272,240,"austria","AT","background","suburban",2016-04-19 11:00:00,2018-07-04 22:00:00,"NET.01","STA.01.0035","AT10035",53435,"aqer:e1a"
"at11002","Oberwart Brunnenfeld",47.304165,16.193054,330,"austria","AT","background","rural",1993-07-01 00:00:00,2008-10-21 00:00:00,NA,NA,NA,576434,"airbase"
"at11007","Lutzmannsburg",47.4652777774653,16.6472222222,205,"austria","AT","background","rural",2016-11-21 14:00:00,2018-09-02 22:00:00,"NET.01","STA.01.1007","AT11007",28950,"aqer:e1a"
"at20444","Arnoldstein Kugi",46.554199999464,13.70153,570,"austria","AT","industrial","rural",2001-01-01 00:00:00,2019-11-30 23:00:00,"NET.02","STA.02.444","AT20444",8553,"airbase; aqer:e1a"
"at2aut1","Rennweg A10",47.026944,13.603889,1160,"austria","AT","traffic","rural",2003-01-01 00:00:00,2011-12-31 23:00:00,NA,NA,NA,346392,"airbase"
"at2f101","Soboth Forsthaus",46.675556,15.046123,1080,"austria","AT","background","rural",2001-01-01 00:00:00,2009-12-31 23:00:00,NA,NA,NA,462098,"airbase"
"at2f103","Klagenfurt A2 Nordumfahrung 2",46.6528499994641,14.26625,455,"austria","AT","traffic","suburban",2016-12-31 23:00:00,2022-05-24 07:00:00,"NET.02","STA.02.F103","AT2F103",44471,"aqer:e1a; aqer:e2a"
"at2f202","Klein St. Paul - Pemberg",46.8428299994644,14.52998,810,"austria","AT","industrial","rural",1996-01-02 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.F202","AT2F202",1295760,"airbase; aqer:e1a; aqer:e2a"
"at2fe13","Feldkirchen Milesistrasse",46.727501,14.090838,550,"austria","AT","traffic","rural",1996-01-01 00:00:00,1998-12-31 23:00:00,NA,NA,NA,134713,"airbase"
"at2he19","Hermagor Gailtalstrasse",46.624722,13.373061,600,"austria","AT","traffic","rural",1993-01-01 00:00:00,2000-12-31 23:00:00,NA,NA,NA,311746,"airbase"
"at2ka11","Klagenfurt Koschatstrasse",46.626111,14.298347,440,"austria","AT","traffic","urban",1991-01-01 00:00:00,2010-12-31 23:00:00,NA,NA,NA,1396252,"airbase"
"at2ka21","Klagenfurt Völkermarkter Straße",46.6255599994641,14.31806,445,"austria","AT","traffic","urban",1994-01-01 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.KA21","AT2KA21",1266774,"airbase; aqer:e1a; aqer:e2a"
"at2ka41","Klagenfurt Kreuzbergl",46.6293599994641,14.28931,550,"austria","AT","background","suburban",1991-06-03 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.KA41","AT2KA41",456913,"airbase; aqer:e1a; aqer:e2a"
"at2ka61","Klagenfurt A2 Nordumfahrung",46.6524999994641,14.2661111111111,455,"austria","AT","traffic","suburban",2008-05-01 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.KA61","AT2KA61",223889,"airbase; aqer:e1a; aqer:e2a"
"at2ka71","Klagenfurt Sterneckstraße",46.6266166661308,14.2991444444444,445,"austria","AT","background","urban",2011-01-01 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.KA71","AT2KA71",622053,"airbase; aqer:e1a; aqer:e2a"
"at2kl17","Ferlach",46.529167,14.301683,460,"austria","AT","background","rural",1993-01-01 00:00:00,2000-12-31 23:00:00,NA,NA,NA,291921,"airbase"
