AirQualityStation,Latitude,Longitude,source
ad0942a,42.5096939994651,1.539138,EEA
ad0944a,42.516943999465,1.56525,EEA
al0201a,41.3302689994674,19.821772,EEA
al0202a,41.3455999994673,19.851667,EEA
al0203a,40.62593,20.78018,EEA
al0205a,41.3199,19.4492,EEA
al0207a,41.11098,20.0817,EEA
at10001,47.8401137994659,16.52617,EEA
at2ka11,46.626111,14.298347,EEA
at2ka21,46.6255599994641,14.31806,EEA
at2ka41,46.6293599994641,14.28931,EEA
at2ka71,46.6266166661308,14.2991444444444,EEA
at2sp18,46.8013888883532,13.4938888888889,EEA
at2sv24,46.7711109994643,14.3658333333333,EEA
at2vi12,46.6124999994641,13.841389,EEA
at2wo15,46.8349999994643,14.8436111111111,EEA
at30065,48.1958349994666,16.143612,EEA
at30101,48.1202777794665,14.878333,EEA
at30201,47.9592499994661,16.2057,EEA
at30301,48.1441999994665,16.95787,EEA
at30599,48.3082222194669,16.3279444,EEA
at30601,48.3024599994669,16.31395,EEA
at30603,48.0856999994664,16.4311,EEA
at30902,48.385276999467,16.182222,EEA
at31401,48.0861110994664,16.3022222,EEA
at31402,48.1249999994665,16.331388,EEA
at31406,48.0833333327997,16.3372222222222,EEA
at31413,48.0842999994664,16.329,EEA
at31501,47.716667,16.044456,EEA
at31901,48.3294449994669,16.0625,EEA
at32301,48.2115999994667,15.6325,EEA
at32302,48.2012999994666,15.6204,EEA
at32401,47.8141666694659,16.255,EEA
at32501,48.4086099994671,15.619166,EEA
at32701,48.1449999994665,16.4744444444444,EEA
at32702,48.1449999994665,16.51111,EEA
at4s125,47.7161111105768,13.6322222222222,EEA
at4s156,48.2577777772445,13.0397222222222,EEA
at4s173,48.2797499994668,14.3665,EEA
at4s184,48.3061194439113,14.2975027777778,EEA
at4s198,48.293056,14.344999,EEA
at4s404,48.2253499994667,14.23755,EEA
at4s406,48.1648999994666,14.0366,EEA
at4s407,48.0008333327996,13.6675,EEA
at4s409,48.0494444439108,14.4427777777778,EEA
at4s412,48.2541666661334,14.3105555555556,EEA
at4s415,48.3233329994669,14.2977778,EEA
at4s416,48.2732899994668,14.31479,EEA
at4s418,47.9719443994662,13.60083333,EEA
at4s431,48.3029899994669,14.28217,EEA
at51000,47.7974999994658,13.0536111111111,EEA
at51066,47.8055555994659,13.043333,EEA
at51200,47.8156499994659,13.03488,EEA
at52000,47.6830555994656,13.1,EEA
at52100,47.6669999994656,13.106,EEA
at52300,47.6913499994657,13.10815,EEA
at54057,47.3513869994651,13.205556,EEA
at56071,47.3394429994651,12.813889,EEA
at56072,47.326639999465,12.795124,EEA
at60018,47.075833332798,15.4375,EEA
at60036,47.0670111105758,15.4936888888889,EEA
at60106,47.0633299994646,15.086667,EEA
at60107,47.0447222216868,15.1527777777778,EEA
at60114,47.1924999994648,14.753333,EEA
at60118,47.1783333327981,14.6766666666667,EEA
at60119,47.2103699994648,14.8252777777778,EEA
at60135,47.1130555550203,15.3391666666667,EEA
at60136,47.1202777772447,15.351111111111,EEA
at60138,47.0943611105647,15.4151111111111,EEA
at60139,47.0694429994647,15.404388,EEA
at60142,47.3755555550207,15.0745,EEA
at60143,47.3824999994651,15.0891666666667,EEA
at60145,47.4458333327985,15.29032,EEA
