AirQualityStation,year_h,year_p,tree_h,grass_h,building_h,road_paved_h,water_h,agriculture_h,tree_p,grass_p,building_p,road_paved_p,water_p,agriculture_p,changeType,year_change,ht_building_p,roadType_h,roadType_p,stationVisible_h,stationVisible_p,sampler
no0097a,2010,2019,10,15,5,70,0,0,5,5,5,85,0,0,rapid,2018,low,2,6,yes,no,zander
hr0010a,2011,2019,2,88,10,0,0,0,5,85,10,0,0,0,,,low,0,0,yes,yes,zander
es1270a,2011,2020,0,0,40,60,0,0,0,0,40,60,0,0,,,high,2,2,no,no,zander
it1336a,2009,2018,5,60,15,20,0,0,20,35,15,30,0,0,gradual,,medium,1,1,no,no,zander
it2087a,2010,2021,5,60,5,30,0,0,5,35,5,55,0,0,rapid,2018,medium,1,1,yes,yes,zander
230031100,2011,2020,0,70,15,15,0,0,0,70,15,15,0,0,,,low,2,2,no,no,zander
gb0926a,2009,2019,15,10,55,20,0,0,10,10,55,25,0,0,rapid,2011,medium,2,2,yes,yes,zander
deby033,2010,2018,15,0,35,50,0,0,25,5,35,35,0,0,gradual,,medium,4,4,yes,yes,zander
es1697a,2010,2018,5,35,5,55,0,0,5,55,5,35,0,0,rapid,2011,medium,2,2,yes,yes,zander
gb0644a,2010,2019,10,50,30,10,0,0,10,20,50,20,0,0,rapid,2017,medium,2,2,yes,yes,zander
fr14028,2009,2020,20,0,60,20,0,0,20,0,60,20,0,0,,,medium,1,1,no,no,zander
ch0020a,2010,2019,30,0,60,10,0,0,30,0,60,10,0,0,,,medium,2,2,no,no,zander
es0120a,2010,2019,15,0,20,65,0,0,25,0,20,55,0,0,gradual,,high,2,2,no,no,zander
debw076,2009,2018,15,30,5,50,0,0,15,15,20,50,0,0,rapid,2012,medium,1,1,no,no,zander
121275002,2010,2019,20,40,5,35,0,0,25,45,0,30,0,0,gradual,,,1,1,no,no,zander
fr15013,2011,2020,15,30,5,50,0,0,15,10,25,50,0,0,rapid,2015,low,2,2,no,no,zander
at54057,,,,,,,,,,,,,,,,,,,,,,zander
ie0028a,2010,2019,65,10,15,10,0,0,5,0,60,35,0,0,rapid,2013,medium,3,3,no,no,zander
es1272a,2011,2020,10,5,20,65,0,0,15,5,20,60,0,0,gradual,,high,2,2,no,no,zander
tr0114a,2011,2019,0,80,0,20,0,0,0,30,15,55,0,0,rapid,2012,medium,0,0,no,no,zander
nl00537,2011,2019,10,0,35,55,0,0,15,5,35,45,0,0,rapid,2018,low,5,3,no,no,zander
it2056a,2010,2019,30,70,0,0,0,0,40,60,0,0,0,0,gradual,,no,0,0,no,no,zander
deby053,2009,2018,35,30,5,30,0,0,10,10,25,55,0,0,rapid,2011,medium,4,4,yes,yes,zander
bg0051a,2010,2019,80,0,10,10,0,0,90,0,5,5,0,0,gradual,,high,2,2,yes,yes,zander
it1646a,2012,2019,5,15,5,5,0,70,5,15,5,5,0,70,,,low,2,2,no,no,zander
gb1014a,2012,2019,0,0,35,65,0,0,0,0,35,65,0,0,,,medium,3,3,no,no,zander
fr41017,2007,2020,10,80,10,0,0,0,15,60,20,5,0,0,rapid,2018,low,1,1,yes,yes,zander
denw053,2010,2019,30,10,20,40,0,0,15,5,35,45,0,0,rapid,2016,medium,2,2,yes,yes,zander
261630094,2010,2019,10,70,0,20,0,0,10,70,0,20,0,0,,,low,1,1,yes,yes,zander
gb0918a,2010,2019,25,70,0,5,0,0,25,70,0,5,0,0,,,low,1,1,yes,yes,zander
it0775a,2009,2019,35,45,10,10,0,0,35,40,15,10,0,0,rapid,2012,medium,1,1,no,no,zander
fi00801,2012,2019,25,45,15,15,0,0,20,40,15,25,0,0,rapid,2017,medium,1,1,yes,yes,zander
es1309a,2010,2019,35,55,0,10,0,0,35,45,0,20,0,0,rapid,2016,low,0,0,no,no,zander
pl0072a,2010,2020,30,20,0,50,0,0,5,30,5,60,0,0,rapid,2018,low,4,4,yes,yes,zander
betr821,2013,2019,40,30,10,20,0,0,30,15,40,15,0,0,rapid,2017,low,0,0,no, no,zander
cz0molj,2009,2019,5,50,15,30,0,0,5,50,15,30,0,0,,,low,1,1,no, no,zander
es1231a,2010,2019,65,0,15,20,0,0,40,0,15,45,0,0,rapid,2013,high,2,2,no,no,zander
tr0022a,2010,2019,15,70,5,10,0,0,15,10,30,45,0,0,rapid,2018,high,1,1,no,no,zander
pl0089a,2010,2019,5,40,15,40,0,0,10,35,15,40,0,0,gradual,,medium,4,4,no,no,zander
fr05090,2011,2019,40,25,15,20,0,0,40,15,25,20,0,0,rapid,2018,high,2,2,no,no,zander
es1438a,2010,2019,40,0,20,40,0,0,55,0,20,25,0,0,gradual,,,,,,,zander
420270100,2012,2020,25,10,5,15,0,45,25,15,5,10,0,45,gradual,,,,,,,zander
fr15039,2011,2020,15,25,10,50,0,0,0,15,30,55,0,0,rapid,,,,,,,zander
180431004,2010,2020,15,5,0,0,0,80,5,35,35,25,0,0,,,,,,,,zander
fr05090,2011,2020,10,30,15,45,0,0,15,25,15,45,0,0,gradual,,medium,2,2,yes,yes,nuria
no0078a,,,,,,,,,,,,,,,,,low,2,2,no,yes,nuria
it1343a,2009,2020,0,0,0,0,0,100,0,0,0,0,0,100,,,,1,1,no,no,nuria
es1499a,2009,2020,20,25,15,15,25,0,40,5,15,15,25,0,gradual,,low,2,2,yes,yes,nuria
80310026,2010,2021,2,68,20,10,0,0,3,67,20,10,0,0,gradual,,low,1,1,no,yes,nuria
dehh021,2008,2020,30,40,5,25,0,0,30,40,5,25,0,0,,,low,1,1,no,no,nuria
bg0076a,2009,2020,12,43,20,25,0,0,15,40,20,25,0,0,gradual,,medium,,,no,yes,nuria
550790056,2011,2021,10,40,10,40,0,0,11,39,10,40,0,0,gradual,,low,6,6,no,yes,nuria
es1244a,2011,2021,2,10,20,68,0,0,7,25,20,48,0,0,gradual,,medium,2,2,no,no,nuria
171630900,2010,2020,0,40,5,55,0,0,0,40,5,55,0,0,,,low,1,1,yes,yes,nuria
290950018,2010,2021,10,20,15,55,0,0,10,20,15,55,0,0,,,low,2,2,no,yes,nuria
gb0840a,2009,2020,48,50,0,2,0,0,48,50,0,2,0,0,,,,,,yes,yes,nuria
80010006,2010,2020,3,55,22,20,0,0,3,55,22,20,0,0,,,low,2,2,yes,yes,nuria
denw095,2010,2020,20,50,25,5,0,0,20,50,25,5,0,0,,,low,2,2,yes,yes,nuria
pl0519a,2012,2020,15,20,20,45,0,0,15,15,20,50,0,0,gradual,,medium,2,2,no,no,nuria
demv007,2013,2022,5,10,0,10,0,75,5,10,0,10,0,75,,,,2,2,yes,yes,nuria
it0837a,2011,2021,15,15,0,10,5,55,15,15,0,10,5,55,,,,2,2,yes,yes,nuria
320310020,2010,2021,5,10,0,75,10,0,5,10,0,75,10,0,,,,2,2,yes,yes,nuria
betr820,2009,2021,15,50,10,10,15,0,20,45,10,10,15,0,gradual,,low,1,1,yes,yes,nuria
tr0035a,2011,2020,15,25,30,30,0,0,15,0,15,70,0,0,rapid,2014,high,2,2,no,no,nuria
fr19015,2010,2018,20,15,25,40,0,0,20,15,25,40,0,0,,,medium,4,4,yes,yes,nuria
es1464a,2010,2020,15,0,70,15,0,0,15,0,70,15,0,0,,,low,1,1,no,no,nuria
pl0046a,2008,2020,5,55,0,7,3,30,5,54,0,20,1,20,rapid,2019,,2,4,yes,yes,nuria
mk0043a,2009,2021,10,15,0,75,0,0,5,5,15,75,0,0,rapid,2015,low,8,8,yes,yes,nuria
dehh047,2008,2019,50,33,15,2,0,0,50,30,15,5,0,0,gradual,,low,1,1,no,yes,nuria
gb1046a,2011,2020,10,75,5,10,0,0,10,75,5,10,0,0,,,low,2,2,yes,yes,nuria
desl013,2008,2020,25,35,5,15,0,20,30,15,10,25,0,20,gradual,,low,2,2,no,yes,nuria
pl0559a,2011,2020,15,40,10,35,0,0,15,35,10,40,0,0,rapid,2015,low,2,2,no,yes,nuria
dest028,2008,2019,20,40,10,30,0,0,20,35,7,38,0,0,rapid,,low,2,2,yes,yes,nuria
es1271a,2011,2020,5,5,60,30,0,0,5,5,60,30,0,0,,,high,2,2,yes,yes,nuria
gr0010a,2007,2017,50,25,0,10,0,15,50,25,0,10,0,15,,,,1,1,no,no,nuria
390610048,2010,2020,10,5,5,80,0,0,0,5,30,65,0,0,rapid,2017,medium,6,6,no,yes,nuria
debb007,2008,2020,7,63,15,15,0,0,10,70,15,5,0,0,gradual,,low,1,1,yes,yes,nuria
it2128a,2013,2020,7,50,8,35,0,0,7,50,5,38,0,0,rapid,2016,medium,1,1,no,yes,nuria
nl00247,2009,2020,7,70,5,18,0,0,7,70,5,18,0,0,,,low,2,2,yes,yes,nuria
gb0921a,2009,2020,25,35,15,25,0,0,25,30,15,30,0,0,rapid,2013,medium,2,2,yes,yes,nuria
pl0489a,2011,2020,5,50,15,30,0,0,5,40,25,30,0,0,rapid,2016,medium,1,1,no,no,nuria
420692006,,,,,,,,,,,,,,,,,,,,,,nuria
it1078a,2010,2019,35,10,20,35,0,0,35,10,35,20,0,0,,,medium,4,4,yes,yes,philipp
480391004,2010,2019,2,88,5,5,0,0,5,85,5,5,0,0,gradual,,low,,,yes,yes,philipp
es0343a,2010,2017,100,0,0,0,0,0,100,0,0,0,0,0,,,no,0,0,no,no,philipp
it0897a,2008,2019,15,0,70,15,0,0,25,0,70,5,0,0,gradual,,high,2,2,no,no,philipp
denw030,2009,2019,45,15,15,25,0,0,10,5,50,35,0,0,gradual,,medium,,,yes,yes,philipp
demv019,2010,2019,5,25,35,35,0,0,10,20,35,35,0,0,gradual,,medium,2,2,no,yes,philipp
deni062,2010,2019,5,45,25,25,0,0,5,45,25,25,0,0,,,low,2,2,yes,yes,philipp
at9stad,2010,2019,15,35,20,30,0,0,15,25,30,30,0,0,rapid,2017,medium,2,2,yes,yes,philipp
no0104a,2009,2019,15,35,25,25,0,0,15,35,25,25,0,0,,,low,2,2,yes,yes,philipp
ie002ap,2009,2019,65,5,0,5,0,25,65,5,0,5,0,25,,,no,1,1,no,no,philipp
gb0583a,2008,2020,10,20,50,20,0,0,15,15,50,20,0,0,gradual,,low,2,2,no,no,philipp
at4s156,2010,2019,35,20,35,10,0,0,45,10,35,10,0,0,gradual,,low,1,1,no,no,philipp
es1067a,2010,2019,10,30,30,30,0,0,15,35,30,20,0,0,gradual,,low,1,1,yes,yes,philipp
at60107,2011,2021,35,30,20,10,5,0,35,25,20,15,5,0,gradual,,medium,2,2,yes,yes,philipp
cz0tovk,2010,2020,20,40,30,10,0,0,25,35,30,10,0,0,gradual,,high,1,1,yes,yes,philipp
371190041,2010,2019,10,80,5,5,0,0,5,70,10,5,0,10,gradual,,low,1,1,yes,yes,philipp
xk0001a,2012,2020,50,0,0,0,0,50,50,0,0,0,0,50,,,no,,,no,no,philipp
denw078,2010,2019,20,25,0,35,0,20,20,25,0,35,0,20,,,no,1,1,yes,yes,philipp
tr0101a,2011,2019,5,75,15,5,0,0,5,30,15,50,0,0,rapid,2014,low,1,1,no,no,philipp
fr12009,2011,2020,40,5,40,15,0,0,40,0,40,20,0,0,,,medium,2,2,no,no,philipp
it0940a,,,,,,,,,,,,,,,,,,,,,,philipp
pl0049a,2010,2019,30,65,0,5,0,0,20,20,10,50,0,0,rapid,2016,medium,1,1,yes,yes,philipp
es1868a,2012,2020,40,40,0,20,0,0,50,30,0,20,0,0,gradual,,,,,yes,yes,philipp
me0009a,2010,2020,10,85,0,5,0,0,10,85,0,5,0,0,,,,1,1,no,yes,philipp
denw115,2009,2019,20,10,50,20,0,0,30,0,50,20,0,0,gradual,,low,2,2,no,no,philipp
derp007,2010,2020,20,30,20,30,0,0,20,30,20,30,0,0,,,low,2,2,yes,yes,philipp
gb0633a,2009,2020,2,0,60,38,0,0,2,0,60,38,0,0,,,medium,2,2,no,no,philipp
rs0034a,2009,2020,20,30,20,30,0,0,20,30,20,30,0,0,,,low,2,2,yes,yes,philipp
it2140a,2011,2018,25,25,20,30,0,0,25,25,20,30,0,0,gradual,,low,2,2,yes,yes,philipp
pl0562a,2010,2019,10,40,20,30,0,0,15,35,20,30,0,0,gradual,,high,1,1,no,yes,philipp
fr19091,2014,2020,25,5,50,20,0,0,25,5,50,20,0,0,,,medium,1,1,no,no,philipp
