var,est,lowCI,upCI,tsLength,buffer,responseVar,greenSpaceVar,biome,pollutant,aic,r2m,r2c
green,-0.028089804504471055,-0.03790767114570673,-0.01827193786323538,6,15,ConcentrationMean,ndvi,Forest mixed,NO2,-8004.533459597231,0.05701410484257532,0.9260955870909925
totEmission,0.04166960810933856,0.03156984328105688,0.051769372937620246,6,15,ConcentrationMean,ndvi,Forest mixed,NO2,-8004.533459597231,0.05701410484257532,0.9260955870909925
total_precipitation,-0.031536891693103246,-0.03799482059129364,-0.02507896279491285,6,15,ConcentrationMean,ndvi,Forest mixed,NO2,-8004.533459597231,0.05701410484257532,0.9260955870909925
relative_humidity,0.001126244405900673,-0.005880743872157916,0.008133232683959263,6,15,ConcentrationMean,ndvi,Forest mixed,NO2,-8004.533459597231,0.05701410484257532,0.9260955870909925
temperature_2m,-0.009571235131302844,-0.018960159790546025,-1.823104720596637e-4,6,15,ConcentrationMean,ndvi,Forest mixed,NO2,-8004.533459597231,0.05701410484257532,0.9260955870909925
wind_abs,-0.02694176588432941,-0.03415221006060725,-0.019731321708051575,6,15,ConcentrationMean,ndvi,Forest mixed,NO2,-8004.533459597231,0.05701410484257532,0.9260955870909925
green,-0.00891962228861086,-0.018243187209086936,4.03942631865219e-4,6,15,ConcentrationMean,ndvi,Forest mixed,PM10,-7815.8221831863775,0.11886352773071797,0.857922550898002
totEmission,0.02511568726185382,0.01418356861528501,0.03604780590842263,6,15,ConcentrationMean,ndvi,Forest mixed,PM10,-7815.8221831863775,0.11886352773071797,0.857922550898002
total_precipitation,-0.03665841406755322,-0.04320497160964304,-0.0301118565254634,6,15,ConcentrationMean,ndvi,Forest mixed,PM10,-7815.8221831863775,0.11886352773071797,0.857922550898002
relative_humidity,-0.021459959136303844,-0.02812954164694759,-0.014790376625660098,6,15,ConcentrationMean,ndvi,Forest mixed,PM10,-7815.8221831863775,0.11886352773071797,0.857922550898002
temperature_2m,-7.421273325142503e-4,-0.009959643268889411,0.00847538860386091,6,15,ConcentrationMean,ndvi,Forest mixed,PM10,-7815.8221831863775,0.11886352773071797,0.857922550898002
wind_abs,-0.026400853277649197,-0.033366258445802516,-0.019435448109495882,6,15,ConcentrationMean,ndvi,Forest mixed,PM10,-7815.8221831863775,0.11886352773071797,0.857922550898002
green,-0.007164696975215804,-0.023213106326937835,0.00888371237650623,6,15,ConcentrationMean,ndvi,Forest mixed,PM25,-2582.6845439658355,0.094666760497197,0.8929449230833197
totEmission,0.005968347060424356,-0.016605335893787196,0.028542030014635907,6,15,ConcentrationMean,ndvi,Forest mixed,PM25,-2582.6845439658355,0.094666760497197,0.8929449230833197
